start,end,keyDownNormal,keyDownDel,keyDownCtrl,keyDownNav,mouseDown,fixationSource,fixationTarget
1402647283406,1402647283906,1,0,0,0,0,0,0
1402647283906,1402647284406,0,2,0,0,0,0,1
1402647284406,1402647284906,0,4,0,0,0,0,1
1402647284906,1402647285406,0,3,0,0,0,0,0
1402647285406,1402647285906,0,1,0,0,0,0,0
1402647285906,1402647286406,0,0,0,0,0,0,1
1402647286406,1402647286906,0,0,0,0,0,0,0
1402647286906,1402647287406,0,0,0,0,1,0,0
1402647287406,1402647287906,0,0,0,0,0,0,0
1402647287906,1402647288406,0,0,0,0,0,0,1
1402647288406,1402647288906,0,0,0,0,0,0,1
1402647288906,1402647289406,0,0,0,0,0,1,0
1402647289406,1402647289906,0,0,0,0,0,5,0
1402647289906,1402647290406,0,0,0,0,0,0,2
1402647290406,1402647290906,0,0,0,0,1,0,2
1402647290906,1402647291406,0,0,0,1,0,0,3
1402647291406,1402647291906,2,0,0,0,0,0,0
1402647291906,1402647292406,1,0,0,0,0,0,1
1402647292406,1402647292906,0,0,0,0,0,0,2
1402647292906,1402647293406,0,0,0,0,0,0,1
1402647293406,1402647293906,0,0,0,0,1,0,0
1402647293906,1402647294406,0,1,0,0,0,0,0
1402647294406,1402647294906,0,0,0,0,0,0,0
1402647294906,1402647295406,1,0,0,0,0,0,1
1402647295406,1402647295906,0,0,0,0,0,0,3
